Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  7.03      8.47     8.47                             inner_loop (fill_triangle.c:147 @ afec)
  4.68     14.12     5.64                             inner_loop (fill_triangle.c:146 @ b582)
  4.68     19.75     5.64                             reset_pixel_buffer_main (main.c:106 @ 3367)
  4.18     24.80     5.04                             inner_loop (fill_triangle.c:143 @ b545)
  3.92     29.52     4.72                             inner_loop (fill_triangle.c:145 @ b578)
  3.85     34.16     4.64                             inner_loop (fill_triangle.c:144 @ afc8)
  3.85     38.80     4.64                             inner_loop (fill_triangle.c:140 @ afcb)
  3.79     43.37     4.57                             inner_loop (fill_triangle.c:144 @ b54a)
  1.81     45.55     2.19                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b033)
  1.56     47.44     1.88                             draw_mesh (draw.c:378 @ 5b41)
  1.55     49.30     1.87                             inner_loop (fill_triangle.c:153 @ b03b)
  1.38     50.97     1.66                             inner_loop (fill_triangle.c:142 @ afb8)
  1.20     52.41     1.45                             inner_loop (fill_triangle.c:141 @ afda)
  1.19     53.85     1.44                             inner_loop (fill_triangle.c:147 @ aff4)
  1.19     55.29     1.44                             inner_loop (fill_triangle.c:146 @ aff7)
  1.15     56.67     1.38                             inner_loop (fill_triangle.c:142 @ b53a)
  1.06     57.95     1.28                             inner_loop (fill_triangle.c:139 @ afb0)
  1.05     59.22     1.27                             inner_loop (fill_triangle.c:153 @ b5cc)
  1.00     60.42     1.20                             inner_loop (fill_triangle.c:144 @ afcd)
  0.95     61.56     1.14                             fill_triangle_color (fill_triangle2.c:202 @ bc6c)
  0.88     62.62     1.05                             draw_mesh (draw.c:381 @ 5c4a)
  0.86     63.66     1.04                             get_unset_used_index (clipping_xy.c:71 @ ccdb)
  0.86     64.69     1.03                             fill_triangle_color (fill_triangle2.c:143 @ b88c)
  0.82     65.68     0.99                             inner_loop (fill_triangle.c:140 @ afd2)
  0.80     66.64     0.96                             inner_loop (fill_triangle.c:143 @ afc3)
  0.76     67.56     0.92                             inner_loop (fill_triangle.c:142 @ b533)
  0.76     68.47     0.91                             inner_loop (fill_triangle.c:147 @ b567)
  0.69     69.30     0.83                             inner_loop (fill_triangle.c:154 @ b019)
  0.69     70.12     0.83                             inner_loop (fill_triangle.c:147 @ b575)
