Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  6.49      4.10     4.10                             fill_triangle_texture (fill_triangle.c:179 @ b064)
  6.47      8.19     4.09                             reset_pixel_buffer_main (main.c:106 @ 3367)
  3.24     10.24     2.05                             fill_triangle_texture (fill_triangle.c:243 @ b614)
  3.22     12.28     2.04                             fill_triangle_texture (fill_triangle.c:240 @ b66a)
  2.69     13.97     1.70                             draw_mesh (draw.c:378 @ 5b41)
  2.42     15.51     1.53                             fill_triangle_texture (fill_triangle.c:180 @ b075)
  2.16     16.87     1.36                             fill_triangle_texture (fill_triangle.c:248 @ b61e)
  1.99     18.13     1.26                             fill_triangle_texture (fill_triangle.c:246 @ b5fc)
  1.96     19.37     1.24                             fill_triangle_texture (fill_triangle.c:177 @ b054)
  1.89     20.57     1.20                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b65f)
  1.70     21.64     1.07                             fill_triangle_texture (fill_triangle.c:173 @ b046)
  1.63     22.67     1.03                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b0b5)
  1.57     23.66     0.99                             fill_triangle_texture (fill_triangle.c:254 @ b667)
  1.50     24.61     0.94                             fill_triangle_texture (fill_triangle.c:247 @ b619)
  1.46     25.53     0.92                             fill_triangle_texture (fill_triangle.c:186 @ b0bb)
  1.25     26.32     0.79                             fill_triangle_texture (fill_triangle.c:243 @ b5f0)
  1.20     27.08     0.76                             fill_triangle_texture (fill_triangle.c:247 @ b60a)
  1.20     27.84     0.76                             get_unset_used_index (clipping_xy.c:71 @ cd8b)
  1.17     28.58     0.74                             draw_mesh (draw.c:381 @ 5c4a)
  1.10     29.27     0.69                             fill_triangle_texture (fill_triangle.c:187 @ b099)
  1.03     29.93     0.65                             fill_triangle_color (fill_triangle2.c:207 @ bd34)
  0.97     30.54     0.61                             matrix_mult_vec3_4x4 (matrix_mult.c:62 @ aa12)
  0.97     31.15     0.61                             fill_triangle_texture (fill_triangle.c:250 @ b629)
  0.95     31.75     0.60                             fill_triangle_texture (fill_triangle.c:171 @ b0be)
  0.93     32.34     0.58                             fill_triangle_texture (fill_triangle.c:175 @ b043)
  0.90     32.91     0.57                             fill_triangle_texture (fill_triangle.c:178 @ b05c)
  0.90     33.48     0.57                             fill_triangle_texture (fill_triangle.c:242 @ b606)
  0.89     34.03     0.56                             fill_triangle_texture (fill_triangle.c:242 @ b5e8)
  0.83     34.56     0.53                             fill_triangle_color (fill_triangle2.c:142 @ b926)
  0.79     35.06     0.50                             draw_mesh (draw.c:421 @ 5df1)
  0.79     35.56     0.50                             fill_triangle_color (fill_triangle2.c:142 @ ba08)
  0.79     36.06     0.50                             lodepng_memset (lodepng.c:129 @ 14a29)
  0.74     36.53     0.47                             fill_triangle_texture (fill_triangle.c:245 @ b5f4)
  0.72     36.98     0.46                             lodepng_memcpy (lodepng.c:123 @ 149de)
  0.71     37.44     0.45                             fill_triangle_texture (fill_triangle.c:253 @ b644)
  0.70     37.88     0.45                             fill_triangle_texture (fill_triangle.c:173 @ b038)
  0.70     38.32     0.44                             fill_triangle_texture (fill_triangle.c:185 @ b089)
  0.69     38.76     0.43                             fill_triangle_texture (fill_triangle.c:254 @ b65a)
  0.68     39.19     0.43                             fill_triangle_texture (fill_triangle.c:182 @ b081)
  0.67     39.61     0.42                             fill_triangle_texture (fill_triangle.c:186 @ b0a2)
  0.66     40.02     0.41                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b657)
  0.65     40.44     0.41                             get_unset_used_index (clipping_xy.c:69 @ cd82)
  0.62     40.83     0.39                             fill_triangle_texture (fill_triangle.c:242 @ b3f4)
  0.60     41.20     0.38                             matrix_mult_vec3_4x4 (matrix_mult.c:63 @ aa61)
  0.59     41.58     0.37                             fill_triangle_texture (fill_triangle.c:251 @ b637)
  0.58     41.94     0.36                             fill_triangle_texture (fill_triangle.c:254 @ b652)
  0.57     42.30     0.36                             matrix_mult_vec3_4x4 (matrix_mult.c:65 @ aaa8)
  0.56     42.66     0.35                             fill_triangle_texture (fill_triangle.c:186 @ b0aa)
  0.55     43.01     0.35                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b091)
  0.55     43.35     0.34                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b0a7)
  0.50     43.66     0.32                             fill_triangle_texture (fill_triangle.c:250 @ b634)
  0.46     43.95     0.29                             fill_triangle_texture (fill_triangle.c:176 @ b04e)
  0.46     44.24     0.29                             fill_triangle_texture (fill_triangle.c:186 @ b0b1)
  0.44     44.52     0.28                             fill_triangle_texture (fill_triangle.c:255 @ b649)
  0.43     44.80     0.27                             get_unset_used_index (clipping_xy.c:71 @ cd6f)
  0.41     45.05     0.26                             fill_triangle_texture (fill_triangle.c:262 @ b4c5)
  0.41     45.31     0.26                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b0af)
