Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  4.90      1.76     1.76                             reset_pixel_buffer_main (main.c:106 @ 3367)
  3.89      3.17     1.40                             inner_loop (fill_triangle.c:156 @ b62e)
  3.28      4.34     1.18                             inner_loop (fill_triangle.c:156 @ b1b8)
  2.51      5.25     0.91                             inner_loop (fill_triangle.c:160 @ b1bf)
  2.29      6.08     0.82                             inner_loop (fill_triangle.c:148 @ b5e0)
  2.16      6.86     0.78                             inner_loop (fill_triangle.c:157 @ b19f)
  2.03      7.58     0.73                             draw_mesh (draw.c:378 @ 5b41)
  1.72      8.21     0.62                             inner_loop (fill_triangle.c:157 @ b615)
  1.69      8.81     0.61                             inner_loop (fill_triangle.c:147 @ b15a)
  1.69      9.43     0.61                             inner_loop (fill_triangle.c:147 @ b5d2)
  1.67     10.03     0.60                             inner_loop (fill_triangle.c:149 @ b5cb)
  1.64     10.62     0.59                             inner_loop (fill_triangle.c:160 @ b638)
  1.61     11.20     0.58                             inner_loop (fill_triangle.c:146 @ b5a1)
  1.51     11.74     0.55                             inner_loop (fill_triangle.c:149 @ b153)
  1.47     12.27     0.53                             inner_loop (fill_triangle.c:146 @ b156)
  1.42     12.78     0.51                             inner_loop (fill_triangle.c:148 @ b16c)
  1.42     13.29     0.51                             inner_loop (fill_triangle.c:146 @ b5ce)
  1.42     13.80     0.51                             lodepng_memset (lodepng.c:129 @ 149e9)
  1.39     14.30     0.50                             inner_loop (fill_triangle.c:149 @ b143)
  1.36     14.79     0.49                             fill_triangle_color (fill_triangle2.c:143 @ b8fc)
  1.30     15.26     0.47                             inner_loop (fill_triangle.c:142 @ b120)
  1.30     15.73     0.47                             lodepng_memcpy (lodepng.c:123 @ 1499e)
  1.29     16.20     0.47                             draw_mesh (draw.c:381 @ 5c4a)
  1.03     16.57     0.37                             inner_loop (fill_triangle.c:157 @ b60c)
  1.00     16.93     0.36                             inner_loop (fill_triangle.c:160 @ b1cc)
  0.97     17.27     0.35                             inner_loop (fill_triangle.c:152 @ b177)
  0.90     17.60     0.33                             fill_triangle_color (fill_triangle2.c:202 @ bcdc)
  0.89     17.92     0.32                             inner_loop (fill_triangle.c:143 @ b137)
  0.87     18.23     0.32                             inner_loop (fill_triangle.c:144 @ b134)
  0.87     18.55     0.32                             inner_loop (fill_triangle.c:147 @ b593)
  0.87     18.86     0.32                             inner_loop (fill_triangle.c:146 @ b5c7)
