Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  3.66      1.53     1.53                             inner_loop (fill_triangle.c:156 @ b4ce)
  3.16      2.85     1.32                             inner_loop (fill_triangle.c:156 @ b058)
  2.66      3.96     1.11                             inner_loop (fill_triangle.c:160 @ b05f)
  2.36      4.95     0.98                             inner_loop (fill_triangle.c:148 @ b480)
  2.30      5.91     0.96                             matrix_mult_vec3_4x4 (matrix_mult.c:62 @ a8a2)
  2.17      6.81     0.91                             inner_loop (fill_triangle.c:148 @ b00c)
  2.12      7.70     0.89                             inner_loop (fill_triangle.c:149 @ b46b)
  2.12      8.58     0.89                             inner_loop (fill_triangle.c:146 @ b46e)
  2.08      9.45     0.87                             inner_loop (fill_triangle.c:157 @ b03f)
  2.02     10.29     0.84                             inner_loop (fill_triangle.c:149 @ aff3)
  1.91     11.10     0.80                             inner_loop (fill_triangle.c:146 @ aff6)
  1.87     11.88     0.78                             draw_mesh (draw.c:378 @ 59e1)
  1.79     12.62     0.75                             inner_loop (fill_triangle.c:147 @ affa)
  1.79     13.38     0.75                             inner_loop (fill_triangle.c:147 @ b472)
  1.69     14.08     0.70                             reset_pixel_buffer_main (main.c:107 @ 3357)
  1.64     14.77     0.69                             reset_pixel_buffer_main (main.c:106 @ 3354)
  1.59     15.43     0.67                             inner_loop (fill_triangle.c:157 @ b4b5)
  1.48     16.05     0.62                             inner_loop (fill_triangle.c:142 @ afc0)
  1.44     16.65     0.60                             inner_loop (fill_triangle.c:160 @ b4d8)
  1.35     17.21     0.56                             inner_loop (fill_triangle.c:149 @ afe3)
  1.28     17.75     0.54                             inner_loop (fill_triangle.c:146 @ b441)
  1.24     18.27     0.52                             fill_triangle_color (fill_triangle2.c:143 @ b79c)
  1.15     18.75     0.48                             lodepng_memset (lodepng.c:129 @ 14889)
  1.10     19.21     0.46                             inner_loop (fill_triangle.c:149 @ b012)
  1.06     19.66     0.45                             lodepng_memcpy (lodepng.c:123 @ 1483e)
  1.02     20.08     0.42                             inner_loop (fill_triangle.c:149 @ b45b)
  1.02     20.50     0.42                             inner_loop (fill_triangle.c:149 @ b487)
  0.99     20.92     0.41                             draw_mesh (draw.c:381 @ 5aea)
