Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  5.34      4.41     4.41                             inner_loop (fill_triangle.c:147 @ afec)
  4.40      8.04     3.63                             reset_pixel_buffer_main (main.c:106 @ 3367)
  3.97     11.32     3.28                             inner_loop (fill_triangle.c:146 @ b582)
  3.90     14.55     3.23                             inner_loop (fill_triangle.c:143 @ b545)
  3.85     17.73     3.19                             inner_loop (fill_triangle.c:144 @ afc8)
  3.85     20.92     3.19                             inner_loop (fill_triangle.c:140 @ afcb)
  3.50     23.82     2.90                             inner_loop (fill_triangle.c:144 @ b54a)
  3.36     26.59     2.78                             inner_loop (fill_triangle.c:145 @ b578)
  1.98     28.23     1.64                             inner_loop (fill_triangle.c:153 @ b03b)
  1.97     29.86     1.63                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b033)
  1.78     31.33     1.47                             draw_mesh (draw.c:378 @ 5b41)
  1.54     32.60     1.27                             inner_loop (fill_triangle.c:153 @ b5cc)
  1.46     33.81     1.21                             inner_loop (fill_triangle.c:142 @ b53a)
  1.45     35.01     1.20                             inner_loop (fill_triangle.c:139 @ afb0)
  1.39     36.16     1.15                             inner_loop (fill_triangle.c:141 @ afda)
  1.27     37.21     1.05                             inner_loop (fill_triangle.c:142 @ afb8)
  1.09     38.11     0.90                             inner_loop (fill_triangle.c:144 @ afcd)
  1.02     38.95     0.84                             get_unset_used_index (clipping_xy.c:71 @ ccdb)
  1.01     39.78     0.83                             inner_loop (fill_triangle.c:147 @ aff4)
  1.01     40.62     0.83                             inner_loop (fill_triangle.c:146 @ aff7)
  0.93     41.39     0.77                             inner_loop (fill_triangle.c:147 @ b567)
  0.93     42.16     0.77                             fill_triangle_color (fill_triangle2.c:143 @ b88c)
  0.92     42.91     0.76                             draw_mesh (draw.c:381 @ 5c4a)
  0.91     43.66     0.75                             inner_loop (fill_triangle.c:147 @ b575)
  0.87     44.38     0.72                             inner_loop (fill_triangle.c:140 @ afd2)
  0.84     45.08     0.69                             fill_triangle_color (fill_triangle2.c:202 @ bc6c)
  0.81     45.75     0.67                             inner_loop (fill_triangle.c:145 @ b54c)
  0.78     46.40     0.65                             get_unset_used_index (clipping_xy.c:69 @ ccd2)
  0.76     47.02     0.63                             inner_loop (fill_triangle.c:143 @ afc3)
  0.70     47.60     0.57                             inner_loop (fill_triangle.c:136 @ b03e)
  0.69     48.17     0.57                             inner_loop (fill_triangle.c:142 @ b533)
  0.68     48.73     0.56                             inner_loop (fill_triangle.c:144 @ b556)
  0.65     49.27     0.54                             inner_loop (fill_triangle.c:154 @ b019)
  0.62     49.78     0.51                             inner_loop (fill_triangle.c:136 @ b5d0)
  0.62     50.30     0.51                             inner_loop (fill_triangle.c:158 @ b5d3)
  0.62     50.80     0.51                             lodepng_memset (lodepng.c:129 @ 14979)
  0.61     51.30     0.50                             fill_triangle_color (fill_triangle2.c:143 @ b963)
  0.61     51.80     0.50                             inner_loop (fill_triangle.c:140 @ b55a)
  0.60     52.30     0.49                             get_unset_used_index (clipping_xy.c:71 @ ccbf)
  0.60     52.80     0.49                             inner_loop (fill_triangle.c:139 @ b530)
  0.59     53.28     0.49                             inner_loop (fill_triangle.c:153 @ b02a)
  0.58     53.77     0.48                             matrix_mult_vec3_4x4 (matrix_mult.c:62 @ aa02)
  0.56     54.23     0.47                             fill_triangle_color (fill_triangle2.c:142 @ b95d)
  0.56     54.69     0.46                             inner_loop (fill_triangle.c:158 @ b041)
  0.56     55.15     0.46                             lodepng_memcpy (lodepng.c:123 @ 1492e)
  0.55     55.60     0.46                             inner_loop (fill_triangle.c:153 @ b5c2)
  0.54     56.05     0.45                             inner_loop (fill_triangle.c:147 @ aff9)
  0.54     56.49     0.45                             inner_loop (fill_triangle.c:141 @ b550)
  0.53     56.94     0.44                             inner_loop (fill_triangle.c:136 @ b5d5)
  0.52     57.37     0.43                             inner_loop (fill_triangle.c:141 @ b562)
  0.50     57.78     0.41                             inner_loop (fill_triangle.c:154 @ b5aa)
  0.49     58.19     0.41                             inner_loop (fill_triangle.c:154 @ b022)
  0.49     58.59     0.41                             inner_loop (fill_triangle.c:140 @ b55f)
  0.49     58.99     0.41                             inner_loop (fill_triangle.c:147 @ b589)
  0.48     59.40     0.40                             inner_loop (fill_triangle.c:146 @ afe8)
  0.48     59.79     0.40                             inner_loop (fill_triangle.c:149 @ b58e)
  0.44     60.16     0.36                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b5c0)
  0.44     60.52     0.36                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b027)
  0.44     60.88     0.36                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b5c6)
